,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,target_orientation,flank_distance,num_flank,box_flank,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
26,0.282,100,0,22.0,600,600,0,0.25,2,0,10,herzog_00_0.25_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011616600253221608,0,0,herzog,0,2019_Jun_16_1308,model
27,0.282,100,0,22.0,600,600,0,0.25,2,1,10,herzog_00_0.25_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018829270353721908,0,0,herzog,0,2019_Jun_16_1308,model
28,0.282,100,0,22.0,600,600,0,0.25,3,0,10,herzog_00_0.25_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013787641625933093,0,0,herzog,0,2019_Jun_16_1308,model
29,0.282,100,0,22.0,600,600,0,0.25,3,1,10,herzog_00_0.25_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.0225089218307038,0,0,herzog,0,2019_Jun_16_1308,model
30,0.282,100,0,22.0,600,600,0,0.3,1,0,10,herzog_00_0.3_01_00.png,0.8119026961336693,5.0,0.015273470099780504,0.009078296203537622,0,0,herzog,0,2019_Jun_16_1308,model
31,0.282,100,0,22.0,600,600,0,0.3,1,1,10,herzog_00_0.3_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.014304839634843846,0,0,herzog,0,2019_Jun_16_1308,model
32,0.282,100,0,22.0,600,600,0,0.3,2,0,10,herzog_00_0.3_02_00.png,0.8119026961336693,5.0,0.019716431074638927,0.011728999949819645,0,0,herzog,0,2019_Jun_16_1308,model
33,0.282,100,0,22.0,600,600,0,0.3,2,1,10,herzog_00_0.3_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018886894511608705,0,0,herzog,0,2019_Jun_16_1308,model
34,0.282,100,0,22.0,600,600,0,0.3,3,0,10,herzog_00_0.3_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013882474562729568,0,0,herzog,0,2019_Jun_16_1308,model
35,0.282,100,0,22.0,600,600,0,0.3,3,1,10,herzog_00_0.3_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022557147962891204,0,0,herzog,0,2019_Jun_16_1308,model
36,0.282,100,0,22.0,600,600,0,0.35,1,0,10,herzog_00_0.35_01_00.png,0.8119026961336693,5.0,0.015273470099780504,0.009077979849925248,0,0,herzog,0,2019_Jun_16_1308,model
37,0.282,100,0,22.0,600,600,0,0.35,1,1,10,herzog_00_0.35_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.014291349183802073,0,0,herzog,0,2019_Jun_16_1308,model
38,0.282,100,0,22.0,600,600,0,0.35,2,0,10,herzog_00_0.35_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011728744009492075,0,0,herzog,0,2019_Jun_16_1308,model
39,0.282,100,0,22.0,600,600,0,0.35,2,1,10,herzog_00_0.35_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018876671714470408,0,0,herzog,0,2019_Jun_16_1308,model
40,0.282,100,0,22.0,600,600,0,0.35,3,0,10,herzog_00_0.35_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013882258325004497,0,0,herzog,0,2019_Jun_16_1308,model
41,0.282,100,0,22.0,600,600,0,0.35,3,1,10,herzog_00_0.35_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022548589200724185,0,0,herzog,0,2019_Jun_16_1308,model
42,0.282,100,0,22.0,600,600,0,0.4,1,0,10,herzog_00_0.4_01_00.png,0.8119026961336693,5.0,0.015273470099780506,0.009060715238654815,0,0,herzog,0,2019_Jun_16_1308,model
43,0.282,100,0,22.0,600,600,0,0.4,1,1,10,herzog_00_0.4_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.014275986789177521,0,0,herzog,0,2019_Jun_16_1308,model
44,0.282,100,0,22.0,600,600,0,0.4,2,0,10,herzog_00_0.4_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011715384925503117,0,0,herzog,0,2019_Jun_16_1308,model
45,0.282,100,0,22.0,600,600,0,0.4,2,1,10,herzog_00_0.4_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018865042701644665,0,0,herzog,0,2019_Jun_16_1308,model
46,0.282,100,0,22.0,600,600,0,0.4,3,0,10,herzog_00_0.4_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013870973437890578,0,0,herzog,0,2019_Jun_16_1308,model
47,0.282,100,0,22.0,600,600,0,0.4,3,1,10,herzog_00_0.4_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022538854808130882,0,0,herzog,0,2019_Jun_16_1308,model
48,0.282,100,0,22.0,600,600,0,2.0,1,0,10,herzog_00_2.0_01_00.png,0.8119026961336693,5.0,0.015273470099780504,0.008993664212928982,0,0,herzog,0,2019_Jun_16_1308,model
49,0.282,100,0,22.0,600,600,0,2.0,1,1,10,herzog_00_2.0_01_01.png,0.8119026961336693,5.0,0.024713106933790974,0.014225418769660067,0,0,herzog,0,2019_Jun_16_1308,model
50,0.282,100,0,22.0,600,600,0,2.0,2,0,10,herzog_00_2.0_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011663603869856395,0,0,herzog,0,2019_Jun_16_1308,model
51,0.282,100,0,22.0,600,600,0,2.0,2,1,10,herzog_00_2.0_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018826804068514984,0,0,herzog,0,2019_Jun_16_1308,model
52,0.282,100,0,22.0,600,600,0,2.0,3,0,10,herzog_00_2.0_03_00.png,0.8119026961336693,5.0,0.023326980616688427,0.013827267097835685,0,0,herzog,0,2019_Jun_16_1308,model
53,0.282,100,0,22.0,600,600,0,2.0,3,1,10,herzog_00_2.0_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022506858762639,0,0,herzog,0,2019_Jun_16_1308,model
54,0.282,100,0,22.0,600,600,1,-1.0,1,0,10,herzog_01_-1_01_00.png,0.8119026961336693,5.0,0.008818828062450344,0.005108173881985691,0,0,herzog,0,2019_Jun_16_1308,model
